Name,Category,Subcategory,Subcategory Group,Product ID,Product URL,Price,Rating
Mamia Grey And White Wardrobe,Specialbuys,Baby & Toddler,Be Inspired,000000545155200,https://www.aldi.co.uk/mamia-grey-and-white-wardrobe/p/000000545155200,£99.99 ,
Gardenline Kamado Ceramic Egg BBQ,Specialbuys,Garden,Be Inspired,710081596330401,https://www.aldi.co.uk/gardenline-kamado-ceramic-egg-bbq/p/710081596330401,£399.99 each,4.8 out of 5 stars. 961 reviews
Beldray 2-In-1 Cordless Vacuum,Specialbuys,Electricals,Be Inspired,717917565239600,https://www.aldi.co.uk/beldray-2-in-1-cordless-vacuum/p/717917565239600,£54.99 each,4.4 out of 5 stars. 789 reviews
Pressure Washer 2.4kW & Accessories,Specialbuys,DIY,Be Inspired,813011599233600,https://www.aldi.co.uk/pressure-washer-2-4kw-%26-accessories/p/813011599233600,£109.99 each,4.8 out of 5 stars. 184 reviews
Clevamama Baby Snuggle Nest,Specialbuys,Baby & Toddler,Be Inspired,708254556074703,https://www.aldi.co.uk/clevamama-baby-snuggle-nest/p/708254556074703,£29.99 each,
Ickle Bubba Swivel Car Seat,Specialbuys,Baby & Toddler,Be Inspired,718986580500800,https://www.aldi.co.uk/ickle-bubba-swivel-car-seat/p/718986580500800,£149.99 each,
Lascal Buggy Board Maxi Plus,Specialbuys,Baby & Toddler,Be Inspired,710356595971000,https://www.aldi.co.uk/lascal-buggy-board-maxi-plus/p/710356595971000,£89.99 each,
Mamia Spring Fibre Cot Bed Mattress,Specialbuys,Baby & Toddler,Be Inspired,717260563339500,https://www.aldi.co.uk/mamia-spring-fibre-cot-bed-mattress/p/717260563339500,£24.99 each,
Grey Wing Back Nursing Armchair,Specialbuys,Baby & Toddler,Be Inspired,716805574509000,https://www.aldi.co.uk/grey-wing-back-nursing-armchair/p/716805574509000,£149.99 each,
Mamia Nursery Furniture Set,Specialbuys,Baby & Toddler,Be Inspired,000000545155400,https://www.aldi.co.uk/mamia-nursery-furniture-set/p/000000545155400,£289.97 ,
Mamia Travel Potty,Specialbuys,Baby & Toddler,Be Inspired,719543596230200,https://www.aldi.co.uk/mamia-travel-potty/p/719543596230200,£12.99 each,
Fisher Price Animal Pull Along Cart,Specialbuys,Baby & Toddler,Be Inspired,716828528057800,https://www.aldi.co.uk/fisher-price-animal-pull-along-cart/p/716828528057800,£13.99 each,
Mamia Grey Wooden Highchair,Specialbuys,Baby & Toddler,Be Inspired,703539512117200,https://www.aldi.co.uk/mamia-grey-wooden-highchair/p/703539512117200,£59.99 each,
Navy Wing Back Nursing Armchair,Specialbuys,Baby & Toddler,Be Inspired,716806574509200,https://www.aldi.co.uk/navy-wing-back-nursing-armchair/p/716806574509200,£149.99 each,
Tommee Tippee Travel Black Out Blind,Specialbuys,Baby & Toddler,Be Inspired,718176611907701,https://www.aldi.co.uk/tommee-tippee-travel-black-out-blind/p/718176611907701,£15.99 each,
Aldi Store Heroes Playset,Specialbuys,Baby & Toddler,Be Inspired,714735529712501,https://www.aldi.co.uk/aldi-store-heroes-playset/p/714735529712501,£4.99 each,
Babylo Lightweight Travel Cot,Specialbuys,Baby & Toddler,Be Inspired,718230590527200,https://www.aldi.co.uk/babylo-lightweight-travel-cot/p/718230590527200,£49.99 each,
Mamia Nursery Changing Unit,Specialbuys,Baby & Toddler,Be Inspired,712404488423400,https://www.aldi.co.uk/mamia-nursery-changing-unit/p/712404488423400,£89.99 each,
Toddler Duvet and Pillow Set,Specialbuys,Baby & Toddler,Be Inspired,712405466107200,https://www.aldi.co.uk/toddler-duvet-and-pillow-set/p/712405466107200,£9.99 each,
Mamia Grey And White Cot Bed,Specialbuys,Baby & Toddler,Be Inspired,000000545155300,https://www.aldi.co.uk/mamia-grey-and-white-cot-bed/p/000000545155300,£99.99 ,
Fervor Dual Fuel BBQ,Specialbuys,Garden,Be Inspired,721613614605300,https://www.aldi.co.uk/fervor-dual-fuel-bbq/p/721613614605300,£199.99 each,5.0 out of 5 stars. 1 review
Natural Wooden Mini Greenhouse,Specialbuys,Garden,Be Inspired,812717580118600,https://www.aldi.co.uk/natural-wooden-mini-greenhouse/p/812717580118600,£69.99 each,4.2 out of 5 stars. 2826 reviews
Gardenline Compact Bistro Set,Specialbuys,Garden,Be Inspired,811941584039900,https://www.aldi.co.uk/gardenline-compact-bistro-set/p/811941584039900,£189.99 each,4.5 out of 5 stars. 236 reviews
Grey Wooden Mini Greenhouse,Specialbuys,Garden,Be Inspired,812716580118400,https://www.aldi.co.uk/grey-wooden-mini-greenhouse/p/812716580118400,£69.99 each,4.2 out of 5 stars. 2826 reviews
Gardenline Wooden Garden Day Bed,Specialbuys,Garden,Be Inspired,812875599523600,https://www.aldi.co.uk/gardenline-wooden-garden-day-bed/p/812875599523600,£279.99 each,4.3 out of 5 stars. 336 reviews
Gardenline Potting Bench,Specialbuys,Garden,Be Inspired,813040596803400,https://www.aldi.co.uk/gardenline-potting-bench/p/813040596803400,£34.99 each,3.4 out of 5 stars. 392 reviews
Gardenline Rope Effect Rocking Chair,Specialbuys,Garden,Be Inspired,812101590096700,https://www.aldi.co.uk/gardenline-rope-effect-rocking-chair/p/812101590096700,£129.99 each,4.4 out of 5 stars. 201 reviews
Bamboo Style Rattan Bistro Set,Specialbuys,Garden,Be Inspired,804961503801800,https://www.aldi.co.uk/bamboo-style-rattan-bistro-set/p/804961503801800,£169.99 each,4.3 out of 5 stars. 105 reviews
Gardenline Potting Bench Natural,Specialbuys,Garden,Be Inspired,813039596682400,https://www.aldi.co.uk/gardenline-potting-bench-natural/p/813039596682400,£34.99 each,3.5 out of 5 stars. 345 reviews
Gardenline Square Fire Pit,Specialbuys,Garden,Be Inspired,714141566142700,https://www.aldi.co.uk/gardenline-square-fire-pit/p/714141566142700,£89.99 Each,3.8 out of 5 stars. 45 reviews
Ferrex 2-In-1 Electric Scarifier,Specialbuys,Garden,Be Inspired,812263599309200,https://www.aldi.co.uk/ferrex-2-in-1-electric-scarifier/p/812263599309200,£79.99 each,4.5 out of 5 stars. 293 reviews
Gardenline Gas Pizza Oven,Specialbuys,Garden,Be Inspired,718406563009700,https://www.aldi.co.uk/gardenline-gas-pizza-oven/p/718406563009700,£179.99 each,3.9 out of 5 stars. 56 reviews
Ferrex 1800W Electric Lawnmower,Specialbuys,Garden,Be Inspired,814142603773700,https://www.aldi.co.uk/ferrex-1800w-electric-lawnmower/p/814142603773700,£99.99 each,4.6 out of 5 stars. 262 reviews
Gardenline Rope Effect Snug Seat,Specialbuys,Garden,Be Inspired,812096590095900,https://www.aldi.co.uk/gardenline-rope-effect-snug-seat/p/812096590095900,£249.99 each,4.7 out of 5 stars. 251 reviews
6 Piece Patio Furniture Set,Specialbuys,Garden,Be Inspired,718015594699700,https://www.aldi.co.uk/6-piece-patio-furniture-set/p/718015594699700,£149.99 each,3.1 out of 5 stars. 197 reviews
Gardenline Lounge & Dining Set,Specialbuys,Garden,Be Inspired,718017583979200,https://www.aldi.co.uk/gardenline-lounge-%26-dining-set/p/718017583979200,£649.99 each,4.4 out of 5 stars. 37 reviews
In Ear Wireless Ear Buds,Specialbuys,Electricals,Be Inspired,717790561141300,https://www.aldi.co.uk/in-ear-wireless-ear-buds/p/717790561141300,£24.99 each,4.4 out of 5 stars. 107 reviews
"Medion 58"" UHD Android Smart TV",Specialbuys,Electricals,Be Inspired,719282579135600,https://www.aldi.co.uk/medion-58%22-uhd-android-smart-tv/p/719282579135600,£389.99 each,4.5 out of 5 stars. 31 reviews
Cream Electric Stove Effect Heater,Specialbuys,Electricals,Be Inspired,810163591869500,https://www.aldi.co.uk/cream-electric-stove-effect-heater/p/810163591869500,£44.99 each,4.3 out of 5 stars. 102 reviews
Teal Electric Window Cleaner,Specialbuys,Electricals,Be Inspired,717763573352301,https://www.aldi.co.uk/teal-electric-window-cleaner/p/717763573352301,£19.99 each,4.4 out of 5 stars. 228 reviews
AirCraft PowerGlide CITY,Specialbuys,Electricals,Be Inspired,717877578972100,https://www.aldi.co.uk/aircraft-powerglide-city/p/717877578972100,£179.99 each,4.5 out of 5 stars. 83 reviews
"Medion 13.3"" Intel N4120 Notebook",Specialbuys,Electricals,Be Inspired,715449496095800,https://www.aldi.co.uk/medion-13-3%22-intel-n4120-notebook/p/715449496095800,£279.99 each,4.2 out of 5 stars. 21 reviews
"23.8"" Caravan TV With DVD Player",Specialbuys,Electricals,Be Inspired,719761581109100,https://www.aldi.co.uk/23-8%22-caravan-tv-with-dvd-player/p/719761581109100,£159.99 each,4.1 out of 5 stars. 50 reviews
"Medion 32"" FHD Smart TV",Specialbuys,Electricals,Be Inspired,719313578223200,https://www.aldi.co.uk/medion-32%22-fhd-smart-tv/p/719313578223200,£189.99 each,4.4 out of 5 stars. 32 reviews
Nextbase 300W Dashboard Camera,Specialbuys,Electricals,Be Inspired,712913466443600,https://www.aldi.co.uk/nextbase-300w-dashboard-camera/p/712913466443600,£69.99 each,3.5 out of 5 stars. 70 reviews
Yale All-in-One Outdoor Camera,Specialbuys,Electricals,Be Inspired,809242562659200,https://www.aldi.co.uk/yale-all-in-one-outdoor-camera/p/809242562659200,£99.99 each,4.0 out of 5 stars. 11 reviews
Balco Action Camera,Specialbuys,Electricals,Be Inspired,715981509338800,https://www.aldi.co.uk/balco-action-camera/p/715981509338800,£49.99 each,3.6 out of 5 stars. 28 reviews
Convection Heater With Remote,Specialbuys,Electricals,Be Inspired,810125550724100,https://www.aldi.co.uk/convection-heater-with-remote/p/810125550724100,£44.99 each,4.2 out of 5 stars. 59 reviews
"Medion 43"" UHD Android Smart TV",Specialbuys,Electricals,Be Inspired,719309578216800,https://www.aldi.co.uk/medion-43%22-uhd-android-smart-tv/p/719309578216800,£279.99 each,4.6 out of 5 stars. 34 reviews
Pokemon Umbreon Switch Controller,Specialbuys,Electricals,Be Inspired,713115467854102,https://www.aldi.co.uk/pokemon-umbreon-switch-controller/p/713115467854102,£24.99 each,4.9 out of 5 stars. 34 reviews
Ceramic Fan Heater,Specialbuys,Electricals,Be Inspired,810145590310500,https://www.aldi.co.uk/ceramic-fan-heater/p/810145590310500,£24.99 each,4.4 out of 5 stars. 29 reviews
Medion i7 RTX3060ti 16GB 512GB SSD,Specialbuys,Electricals,Be Inspired,720882596019400,https://www.aldi.co.uk/medion-i7-rtx3060ti-16gb-512gb-ssd/p/720882596019400,"£1,099.99 each",4.3 out of 5 stars. 24 reviews
"Medion 65"" 4K QLED Smart TV",Specialbuys,Electricals,Be Inspired,718021559117900,https://www.aldi.co.uk/medion-65%22-4k-qled-smart-tv/p/718021559117900,£629.99 each,4.4 out of 5 stars. 17 reviews
Workzone 100 Piece Screwdriver Set,Specialbuys,DIY,Be Inspired,810197580475501,https://www.aldi.co.uk/workzone-100-piece-screwdriver-set/p/810197580475501,£22.99 each,4.5 out of 5 stars. 110 reviews
Ferrex Electric Tiller,Specialbuys,DIY,Be Inspired,812095596760300,https://www.aldi.co.uk/ferrex-electric-tiller/p/812095596760300,£74.99 each,4.7 out of 5 stars. 136 reviews
Abru Loft Ladder,Specialbuys,DIY,Be Inspired,709319582459002,https://www.aldi.co.uk/abru-loft-ladder/p/709319582459002,£52.99 each,4.7 out of 5 stars. 140 reviews
SuperFOIL Insulation Wrap,Specialbuys,DIY,Be Inspired,809923591357700,https://www.aldi.co.uk/superfoil-insulation-wrap/p/809923591357700,£69.99 each,4.6 out of 5 stars. 41 reviews
Cordless Grass & Hedge Trimmer Shear,Specialbuys,DIY,Be Inspired,812450598821200,https://www.aldi.co.uk/cordless-grass-%26-hedge-trimmer-shear/p/812450598821200,£29.99 each,4.2 out of 5 stars. 57 reviews
Teal Electric Window Cleaner,Specialbuys,DIY,Be Inspired,717763573352301,https://www.aldi.co.uk/teal-electric-window-cleaner/p/717763573352301,£19.99 each,4.4 out of 5 stars. 229 reviews
Workzone Aluminium Telescopic Ladder,Specialbuys,DIY,Be Inspired,810299547926300,https://www.aldi.co.uk/workzone-aluminium-telescopic-ladder/p/810299547926300,£84.99 each,4.5 out of 5 stars. 62 reviews
Scheppach 2.5 Hp Compressor,Specialbuys,DIY,Be Inspired,808227501231400,https://www.aldi.co.uk/scheppach-2-5-hp-compressor/p/808227501231400,£89.99 each,4.2 out of 5 stars. 53 reviews
Ferrex 18V Drill & Impact Driver,Specialbuys,DIY,Be Inspired,717445606409801,https://www.aldi.co.uk/ferrex-18v-drill-%26-impact-driver/p/717445606409801,£89.99 each,4.6 out of 5 stars. 23 reviews
Ferrex 1800W Electric Lawnmower,Specialbuys,DIY,Be Inspired,814142603773700,https://www.aldi.co.uk/ferrex-1800w-electric-lawnmower/p/814142603773700,£99.99 each,4.6 out of 5 stars. 262 reviews
"Ferrex 8"" Benchtop Table Saw",Specialbuys,DIY,Be Inspired,804180553093301,https://www.aldi.co.uk/ferrex-8%22-benchtop-table-saw/p/804180553093301,£79.99 each,4.0 out of 5 stars. 47 reviews
Workzone Scaffold and Ladder System,Specialbuys,DIY,Be Inspired,815347611735900,https://www.aldi.co.uk/workzone-scaffold-and-ladder-system/p/815347611735900,£99.99 each,4.4 out of 5 stars. 11 reviews
Ferrex Bandsaw,Specialbuys,DIY,Be Inspired,810249541009800,https://www.aldi.co.uk/ferrex-bandsaw/p/810249541009800,£149.99 each,4.4 out of 5 stars. 146 reviews
49 Piece Closable Tool Kit Bag,Specialbuys,DIY,Be Inspired,811960606448701,https://www.aldi.co.uk/49-piece-closable-tool-kit-bag/p/811960606448701,£34.99 each,4.1 out of 5 stars. 22 reviews
Ferrex Jack Hammer 1900W,Specialbuys,DIY,Be Inspired,808190516680600,https://www.aldi.co.uk/ferrex-jack-hammer-1900w/p/808190516680600,£129.99 each,4.9 out of 5 stars. 52 reviews
Ferrex 18V Impact Wrench,Specialbuys,DIY,Be Inspired,717472591958300,https://www.aldi.co.uk/ferrex-18v-impact-wrench/p/717472591958300,£59.99 each,3.2 out of 5 stars. 82 reviews
Ferrex 18V Combi Drill,Specialbuys,DIY,Be Inspired,717444591108500,https://www.aldi.co.uk/ferrex-18v-combi-drill/p/717444591108500,£42.99 each,4.8 out of 5 stars. 39 reviews
Ladies' Navy Cosy Pyjamas,Specialbuys,Clothing,Be Inspired,808609537553101,https://www.aldi.co.uk/ladies%27-navy-cosy-pyjamas/p/808609537553101,£3.99 each,4.0 out of 5 stars. 62 reviews
Little Town Wooden Popcorn Machine,Specialbuys,Baby & Toddler,Be Inspired,079971530403611,https://www.aldi.co.uk/little-town-wooden-popcorn-machine/p/079971530403611,£12.99 each,
Ladies' Brown Country Boots,Specialbuys,Clothing,Be Inspired,802711574520600,https://www.aldi.co.uk/ladies%27-brown-country-boots/p/802711574520600,£44.99 per pair,4.3 out of 5 stars. 104 reviews
Men's Liverpool Football Pyjamas,Specialbuys,Clothing,Be Inspired,809915561216702,https://www.aldi.co.uk/men%27s-liverpool-football-pyjamas/p/809915561216702,£6.99 each,4.6 out of 5 stars. 101 reviews
Ladies' Black Snug Boots,Specialbuys,Clothing,Be Inspired,809644573843800,https://www.aldi.co.uk/ladies%27-black-snug-boots/p/809644573843800,£7.99 per pair,4.5 out of 5 stars. 105 reviews
Men's Black Trekking Boots,Specialbuys,Clothing,Be Inspired,811271605051900,https://www.aldi.co.uk/men%27s-black-trekking-boots/p/811271605051900,£19.99 per pair,3.0 out of 5 stars. 2 reviews
Ladies' Red Cosy Pyjamas,Specialbuys,Clothing,Be Inspired,808609532749300,https://www.aldi.co.uk/ladies%27-red-cosy-pyjamas/p/808609532749300,£3.99 each,4.0 out of 5 stars. 62 reviews
Ladies' Grey Trekking Boots,Specialbuys,Clothing,Be Inspired,811270574512400,https://www.aldi.co.uk/ladies%27-grey-trekking-boots/p/811270574512400,£19.99 per pair,4.2 out of 5 stars. 25 reviews
Men's Manchester United Pyjamas,Specialbuys,Clothing,Be Inspired,809915562010200,https://www.aldi.co.uk/men%27s-manchester-united-pyjamas/p/809915562010200,£6.99 each,4.6 out of 5 stars. 101 reviews
Avenue Rose Floral Maxi Dress,Specialbuys,Clothing,Be Inspired,804241482312901,https://www.aldi.co.uk/avenue-rose-floral-maxi-dress/p/804241482312901,£7.99 each,4.4 out of 5 stars. 8 reviews
Children's Liverpool Pyjamas,Specialbuys,Clothing,Be Inspired,809952538508800,https://www.aldi.co.uk/children%27s-liverpool-pyjamas/p/809952538508800,£3.99 each,4.7 out of 5 stars. 52 reviews
Crane Men's Black Trousers,Specialbuys,Clothing,Be Inspired,802003513554401,https://www.aldi.co.uk/crane-men%27s-black-trousers/p/802003513554401,£17.99 each,4.6 out of 5 stars. 108 reviews
Children's Manchester United Pyjamas,Specialbuys,Clothing,Be Inspired,809952537573303,https://www.aldi.co.uk/children%27s-manchester-united-pyjamas/p/809952537573303,£3.99 each,4.7 out of 5 stars. 52 reviews
Avenue Ladies' Blue Jeggings,Specialbuys,Clothing,Be Inspired,812408603260401,https://www.aldi.co.uk/avenue-ladies%27-blue-jeggings/p/812408603260401,£7.99 each,2.1 out of 5 stars. 18 reviews
Mens' Black Sheepskin Slippers,Specialbuys,Clothing,Be Inspired,810341548544200,https://www.aldi.co.uk/mens%27-black-sheepskin-slippers/p/810341548544200,£9.99 per pair,4.1 out of 5 stars. 36 reviews
Ladies' Black Friends Pyjamas,Specialbuys,Clothing,Be Inspired,806833532749700,https://www.aldi.co.uk/ladies%27-black-friends-pyjamas/p/806833532749700,£6.99 each,4.7 out of 5 stars. 37 reviews
Avenue Grey Floral Maxi Dress,Specialbuys,Clothing,Be Inspired,804241482313303,https://www.aldi.co.uk/avenue-grey-floral-maxi-dress/p/804241482313303,£7.99 each,4.4 out of 5 stars. 8 reviews
Ladies' Grey Friends Pyjamas,Specialbuys,Clothing,Be Inspired,806833537550901,https://www.aldi.co.uk/ladies%27-grey-friends-pyjamas/p/806833537550901,£6.99 each,4.7 out of 5 stars. 37 reviews
